                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0352,                 2.2471,                  1.387,                0.78493,                0.21584,                0.22972,                0.11772,                 1.6888,                 1.2525,                 1.2253,              0.0001668,              0.0001668,              0.0001668
                      2,                 1.3808,                0.89026,                   1.07,                0.77909,                0.36379,                0.37365,                0.23325,                 1.2411,                0.80456,                 1.0656,              0.0003358,              0.0003358,              0.0003358
                      3,                 1.1772,                0.70232,                0.99186,                0.86028,                0.43774,                0.43004,                0.29471,                0.99309,                0.66182,                0.96767,             0.00050139,             0.00050139,             0.00050139
                      4,                 1.0466,                0.61127,                0.95492,                0.63779,                0.46246,                0.47466,                0.32187,                 1.0001,                0.58153,                0.96397,             0.00053949,             0.00053949,             0.00053949
                      5,                0.98332,                0.57005,                0.93553,                0.67391,                0.48715,                0.49038,                0.33043,                0.96273,                0.53926,                0.94904,             0.00053398,             0.00053398,             0.00053398
                      6,                 0.9421,                0.52571,                0.92256,                0.75669,                0.50133,                0.49218,                0.34679,                0.89441,                0.50112,                0.93071,             0.00052848,             0.00052848,             0.00052848
                      7,                0.90003,                0.49936,                0.91308,                0.63082,                0.50791,                0.51389,                0.37217,                0.82147,                0.46584,                0.91415,             0.00052297,             0.00052297,             0.00052297
                      8,                0.85601,                 0.4802,                0.90328,                0.72683,                0.51005,                0.53057,                0.37446,                 0.8415,                 0.4759,                 0.9123,             0.00051747,             0.00051747,             0.00051747
                      9,                0.85262,                0.47035,                0.89459,                0.75614,                0.50176,                0.52597,                0.37418,                0.79698,                0.45797,                0.90914,             0.00051196,             0.00051196,             0.00051196
                     10,                0.82902,                 0.4671,                0.89464,                0.68659,                0.52606,                0.54259,                0.39281,                0.81314,                0.44878,                0.91254,             0.00050646,             0.00050646,             0.00050646
                     11,                0.81386,                0.45471,                0.88903,                 0.7536,                0.52293,                0.54762,                0.39382,                0.84396,                0.45752,                0.92172,             0.00050096,             0.00050096,             0.00050096
                     12,                0.81223,                0.45105,                 0.8907,                0.77579,                0.52433,                0.55811,                0.40283,                 0.7825,                  0.435,                0.90428,             0.00049545,             0.00049545,             0.00049545
                     13,                0.78921,                0.43883,                0.88172,                0.69648,                0.54303,                 0.5623,                0.41635,                0.74659,                0.42615,                0.89671,             0.00048995,             0.00048995,             0.00048995
